@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2,3}

@data
918,'2022/02/21 23:49:47:574',4,0.334171,0.385983,0.367981,0.212351,0.428405,0.06634,0.374208,0.276362,0.360045,0.268549,0.340244,0.067949,1
919,'2022/02/21 23:49:47:673',4,0.331155,0.384895,0.361334,0.210745,0.422147,0.059716,0.373303,0.271027,0.357684,0.266901,0.336617,0.065118,1
920,'2022/02/21 23:49:47:772',4,0.33096,0.384383,0.360367,0.216494,0.41897,0.05695,0.369409,0.267125,0.353958,0.263595,0.333269,0.064971,1
921,'2022/02/21 23:49:47:866',4,0.327866,0.386898,0.35608,0.215048,0.417136,0.058169,0.367119,0.270449,0.351803,0.265821,0.331095,0.065724,1
922,'2022/02/21 23:49:47:966',4,0.326562,0.388836,0.355831,0.217171,0.416628,0.062338,0.366597,0.274616,0.351062,0.267915,0.330322,0.067887,1
923,'2022/02/21 23:49:48:065',4,0.325999,0.386569,0.354233,0.21983,0.415388,0.061403,0.363951,0.27221,0.348832,0.264587,0.327684,0.067708,1
924,'2022/02/21 23:49:48:164',4,0.325248,0.380539,0.354318,0.209075,0.413505,0.052918,0.36157,0.268495,0.347138,0.263177,0.32622,0.062901,1
925,'2022/02/21 23:49:48:269',4,0.325381,0.376197,0.352895,0.205994,0.41257,0.04803,0.362032,0.25963,0.346939,0.255537,0.324996,0.056615,1
926,'2022/02/21 23:49:48:361',4,0.321752,0.37384,0.350084,0.201194,0.411532,0.048479,0.357934,0.255257,0.343717,0.252557,0.324139,0.052976,1
927,'2022/02/21 23:49:48:461',4,0.316437,0.37039,0.345698,0.19857,0.405671,0.035967,0.352364,0.252924,0.33795,0.25128,0.317286,0.046515,1
928,'2022/02/21 23:49:48:560',4,0.314635,0.360425,0.342906,0.187641,0.401104,0.025786,0.348273,0.240941,0.33525,0.234208,0.315159,0.034757,1
929,'2022/02/21 23:49:48:659',4,0.316234,0.354039,0.341503,0.173836,0.404299,0.021011,0.35145,0.232452,0.336554,0.233604,0.315883,0.031073,1
930,'2022/02/21 23:49:48:759',4,0.319874,0.352743,0.34798,0.169532,0.408819,0.021952,0.355126,0.234284,0.340825,0.234262,0.320842,0.029084,1
931,'2022/02/21 23:49:48:858',4,0.320301,0.353273,0.350176,0.17385,0.410738,0.020947,0.358654,0.228834,0.34318,0.23446,0.322997,0.028678,1
932,'2022/02/21 23:49:48:959',4,0.321479,0.353872,0.349841,0.175825,0.412144,0.021943,0.357916,0.231445,0.343752,0.234833,0.322712,0.029023,1
